group,group_display,start_date,egg_uid,well_id,outcome,delta_2c_4c,delta_4c_bean,delta_bean_move
pooled_control,Pooled control,2025-06-12,866,12,l3_reached,15.900000000000002,116.9,17.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,347,1,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,348,1,l3_reached,45.0,139.0,31.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,349,1,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,351,2,l3_reached,29.0,143.0,28.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,352,2,l3_reached,23.0,120.0,27.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,353,3,l3_reached,54.0,165.0,33.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,354,3,leak,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,355,3,leak,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,356,4,l3_reached,43.0,207.0,50.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,357,4,l3_reached,46.0,144.0,49.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,358,4,l3_reached,22.0,116.0,24.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,359,5,l3_reached,28.0,173.0,31.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,360,5,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,361,5,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,362,6,l3_reached,37.0,151.0,8.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,363,6,l3_reached,18.0,110.0,39.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,364,6,l3_reached,20.0,115.0,35.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,365,7,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,366,7,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,367,7,l3_reached,48.0,238.0,39.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,368,8,arrested,171.0,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,369,8,l3_reached,19.0,119.0,30.0
