stage,comparison,n_group1,n_group2,median_group1_h,median_group2_h,median_diff_h_(g2-g1),mean_group1_h,mean_group2_h,mean_diff_h_(g2-g1),sd_group1_h,sd_group2_h,p_holm,sig
Bean,Pooled control vs 800nm pulsed 120s,93,35,156.5,169.0,12.5,155.28602150537634,178.87428571428572,23.58826420890938,16.935707013378888,27.424788517144197,6.5753326008552255e-06,***
Bean,Pooled control vs UVC 6W 2s,93,31,156.5,185.8,29.30000000000001,155.28602150537634,195.6064516129033,40.32043010752696,16.935707013378888,38.29741449483564,8.678984711939966e-11,***
Bean,Pooled control vs UVC 6W 5s,93,27,156.5,239.9,83.4,155.28602150537634,267.0777777777777,111.79175627240139,16.935707013378888,87.74663847750843,3.470688556738018e-13,***
Bean,UVC 6W 2s vs UVC 6W 5s,31,27,185.8,239.9,54.099999999999994,195.6064516129033,267.0777777777777,71.47132616487443,38.29741449483564,87.74663847750843,0.00039987486122248746,***
Motion,400nm SHG 10mW 2s vs UVC 6W 2s,16,31,279.0,205.8,-73.19999999999999,310.6875,217.3161290322581,-93.37137096774191,105.3832489851526,39.856560286224685,0.0009413606344823408,***
Motion,800nm pulsed 120s vs 400nm SHG 10mW 2s,35,16,199.39999999999998,279.0,79.60000000000002,206.9857142857143,310.6875,103.7017857142857,31.135436052049446,105.3832489851526,0.00013210552101904446,***
Motion,800nm pulsed 120s vs UVC 6W 5s,35,27,199.39999999999998,264.9,65.5,206.9857142857143,291.7333333333333,84.747619047619,31.135436052049446,88.02239662547429,1.1025131892137315e-05,***
Motion,Pooled control vs 400nm SHG 10mW 2s,93,16,177.20000000000002,279.0,101.79999999999998,177.53333333333336,310.6875,133.15416666666664,16.93164860956195,105.3832489851526,4.151996374288795e-09,***
Motion,Pooled control vs 800nm pulsed 120s,93,35,177.20000000000002,199.39999999999998,22.19999999999996,177.53333333333336,206.9857142857143,29.452380952380935,16.93164860956195,31.135436052049446,5.914062786717059e-07,***
Motion,Pooled control vs UVC 6W 2s,93,31,177.20000000000002,205.8,28.599999999999994,177.53333333333336,217.3161290322581,39.78279569892473,16.93164860956195,39.856560286224685,4.0923015382910104e-10,***
Motion,Pooled control vs UVC 6W 5s,93,27,177.20000000000002,264.9,87.69999999999996,177.53333333333336,291.7333333333333,114.19999999999993,16.93164860956195,88.02239662547429,1.7849683085214376e-13,***
Motion,UVC 6W 2s vs UVC 6W 5s,31,27,205.8,264.9,59.099999999999966,217.3161290322581,291.7333333333333,74.4172043010752,39.856560286224685,88.02239662547429,0.00011157368914093844,***
