delta_group,omnibus_test,omnibus_p,omnibus_significant_0.05,pairwise_test,comparison,statistic,p_raw,p_holm,significant_0.05,sig,n_pooled_control,normality_p_pooled_control,n_800nm_pulsed_120s,normality_p_800nm_pulsed_120s,n_shg_10mW_2s,normality_p_shg_10mW_2s,n_uvc_6W_2s,normality_p_uvc_6W_2s,n_uvc_6W_5s,normality_p_uvc_6W_5s
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,Pooled control vs UVC 6W 2s,480.0,2.9187339643591668e-08,2.62686056792325e-07,True,***,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,Pooled control vs UVC 6W 5s,197.0,2.931714952306282e-11,2.9317149523062816e-10,True,***,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_4c_bean,Kruskal-Wallis,1.3248894291709549e-14,True,Mann-Whitney U,UVC 6W 2s vs UVC 6W 5s,213.0,0.0013945726000468958,0.008367435600281374,True,**,93,0.7694534470987658,35,0.01657637084087562,17,0.06731818319861618,31,2.7694889235718194e-07,27,0.2244542680910118
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 2s,435.0,2.7737104405629303e-05,0.00022189683524503442,True,***,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 5s,362.0,0.0002481764642773597,0.001489058785664158,True,**,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,800nm pulsed 120s vs 400nm SHG 10mW 2s,155.0,0.011474193524197313,0.05737096762098656,False,ns,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 2s,837.0,0.00015698980471261833,0.0010989286329883283,True,**,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 5s,649.0,0.012378205457689018,0.05737096762098656,False,ns,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,Pooled control vs 400nm SHG 10mW 2s,186.0,1.7518684466981373e-06,1.751868446698137e-05,True,***,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,Pooled control vs 800nm pulsed 120s,766.0,4.0771471624283565e-06,3.669432446185521e-05,True,***,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,Pooled control vs UVC 6W 2s,1542.0,0.5630760128026644,0.5630760128026644,False,ns,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,Pooled control vs UVC 6W 5s,920.5,0.03518895788920957,0.10556687366762871,False,ns,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
delta_bean_move,Kruskal-Wallis,4.8670307893480145e-09,True,Mann-Whitney U,UVC 6W 2s vs UVC 6W 5s,300.5,0.06625809002385308,0.13251618004770616,False,ns,93,3.8098872301411557e-06,35,0.0022080176826803476,16,0.17494763788791215,31,0.08636686783526644,27,8.135416257963669e-05
