epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,35327.4,0.48962,0.32015,0.85539,0.86352,0.87788,0.92552,0.84082,0.47148,0.29202,0.83986,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,35932.8,0.48685,0.31942,0.85543,0.86295,0.87773,0.92576,0.84099,0.47135,0.29186,0.83979,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,36536.9,0.48726,0.31491,0.85716,0.87638,0.86531,0.92568,0.84115,0.47108,0.29161,0.8397,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,37138.4,0.48118,0.30853,0.85265,0.86826,0.87328,0.92609,0.84179,0.47081,0.29056,0.83963,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,37740.8,0.48678,0.31273,0.85702,0.85864,0.88208,0.92574,0.84129,0.47037,0.29175,0.83955,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,38344.6,0.48105,0.30935,0.85198,0.85836,0.88373,0.92579,0.84127,0.47037,0.29179,0.83953,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,38950.6,0.48217,0.31042,0.85478,0.87697,0.86152,0.92601,0.84117,0.47044,0.2916,0.83947,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,39555.3,0.48253,0.30828,0.85242,0.87451,0.86841,0.92588,0.8412,0.47042,0.29146,0.83947,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,40159.7,0.47786,0.30474,0.85309,0.87574,0.86663,0.92575,0.8414,0.47047,0.29135,0.83942,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,40762.6,0.47856,0.30602,0.85331,0.87316,0.86683,0.92495,0.84057,0.47031,0.2914,0.83937,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,41365.9,0.47451,0.29772,0.85116,0.87797,0.86285,0.92481,0.84118,0.47022,0.29116,0.83936,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,41969.5,0.4752,0.30578,0.85153,0.87981,0.86164,0.92399,0.84022,0.46998,0.29098,0.83935,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
